1,"ALLEN, Lawrence J",The Alaska Pipeline Volume 1 -  The Beginning,12,3,2,6
2,"ALLEN, Christine Pevitt",Madame de Pompadour - Mistress of France,12,22,2,4
3,"DALE, Carnegie",How to Win Friends and Influence People,5,1,1,8
4,"DALE, Carnegie",The Quick and Easy Way to Effective Speaking,5,1,1,8
5,"MORGAN, Gwyn",69 A. D. -  The Year of Four Emperors,12,5,1,6
6,"MANN, Charles",1491 -  New Revelations of the America before Columbus,12,3,1,6
